building,building_id,rank
Alle,,0
1902-bygget,2320,0
1930-bygget,2315,0
Adolf Øien-bygget (Handelshøyskolen),380,0
Akrinn,105,0
Akrinn vest (Gunnerus gate 1),101,0
Akrinn øst (Sverres gate 10),104,0
Akutt/hjerte/lungesenteret,2340,0
Ametyst,501,0
Arkitekt Christies gate 2,115,0
Berg,333,0
Beryll,504,0
Bevegelsessenteret,2310,0
Biologisk stasjon,80,0
Brakka,504B,0
Brattørkaia 17B,25,0
Byggteknisk,337,0
Dora,40,0
Dragvoll Bygg 1 - 6,810,0
Dragvoll Bygg 11 - 12,830,0
Dragvoll Bygg 7 - 10,820,0
Dragvoll gård,841,0
Elektro A,326,0
Elektro B,327,0
Elektro D+B2,329,0
Elektro E/F,341,0
Elgesetergt 10,249,0
Fagskolen,704,0
Fjordgata 1,61,0
Forsyningssenteret,2330,0
Gamle elektro,325,0
Gamle fysikk,319,0
Gamle kjemi,323,0
Gastrosenteret,2430,0
Geologi,306,0
Gjøvik gård,GJØVIK GÅRD,0
Gjøvik international School,505B,0
Gneis,503,0
Grønnbygget,332,0
Gunnerusbiblioteket,130,0
Gunnerushuset,125,0
Helvin,505,0
Hovedbygget,702,0
Hovedbygningen,301,0
Høgskoleringen 3,358,0
IT-bygget,317,0
"IT-bygget, sydfløy",318,0
Idrettssenteret,850,0
Industribygget,75,0
Jonsvannsveien 82,78,0
K-Bygget (Kunnskapsparken),703,0
Kjelhuset,354,0
Kjemi 1,311,0
Kjemi 2,312,0
Kjemi 3,313,0
Kjemi 4,314,0
Kjemi 5,315,0
Kjøpmannsgata 42,62,0
Klostergata 46,240,0
Kobolt,502,0
Krambugt 12/14,65,0
Kunnskapssenteret,2420,0
Kvinne-barnsenteret,2240,0
Lab-bygg,701,0
Laboratoriesenteret,2230,0
Lysholm-bygget,116,0
Låven,825,0
"MTFS, del 1",220,0
Marinteknisk senter,6391,0
Marinteknisk senter - tunglab,6392,0
Metallurgi,304,0
Mustad bygn. 109,508,0
Mustad bygn. 114,506,0
Mustad bygn. 118,512,0
Mustad bygn. 151,513,0
NHL Hall utvidelse,439,0
NMK Nautikk,705,0
Nevrosenteret,2130,0
Norsk hydroteknisk laboratorium,436,0
Olavskvartalet,60,0
Oppredning/gruvedrift,305,0
PFI,365,0
PTS Paviljong,443,0
Paviljong B,822,0
Paviljong C,823,0
Petroleumsteknisk senter,444,0
Plantebiosenteret,824,0
Realfagbygget,360,1
Retorten,102,0
Revmatismehuset,220B,0
Rotvoll Bygg A,31,0
Rotvoll Bygg B,32,0
Rotvoll Bygg C,33,0
Rotvoll Bygg D,34,0
Rotvoll Bygg E,35,0
Sentralbygg 1,321,0
Sentralbygg 2,322,0
Sluppenvegen 14,485,0
Smaragd,510,0
StatPed,506B,0
Statsarkivet,10,0
Suhmhuset,135,0
Sukkerhuset,110,0
Sverres gate 14,103,0
Trondheim Spektrum,TS,0
Tungasletta 2,11,0
Tungavegen 32 Bygg 1,12,0
Tungavegen 32 Bygg 2,13,0
Utleirahallen,UTLEIRA,0
Valgrinda 2000,460,0
Varmeteknisk,302,0
Vassbygget,446,0
Verkstedteknisk,307,0
Øya helsehus,280,0
